time,outside_temp,t_cor,t_nor,t_sou,t_wes,t_eas,tdis_tot,ener_tot,reward
432000.0,283.34,293.88727,293.19067,294.87915,293.24878,293.48712,712.2256184521485,5.399739058678704e-07,-712.2256724495392
433800.0,283.76938,293.8701,293.16785,294.83395,293.2322,293.47244,712.182270209961,1.076508152833859e-06,-712.1823778607762
435600.0,283.78,293.85052,293.15247,294.78555,293.19904,293.45084,712.1194542309571,0.0067892799694857986,-712.7983822279057
437400.0,282.67188,295.2869,294.5583,296.13885,294.61328,295.02957,715.6785794995118,0.009710042158628982,-716.6495837153747
439200.0,281.47,295.4018,294.6421,296.19403,295.14294,295.10605,716.2427945629884,0.01291167686138087,-717.5339622491265
441000.0,281.33994,295.5146,294.7223,296.25064,296.08298,295.1804,717.1279972119141,0.015900107325085584,-718.7180079444227
442800.0,281.7,295.55136,294.7412,296.27545,295.37344,295.23233,716.6357266552734,0.018838202448761093,-718.5195469001495
444600.0,283.09943,295.59332,295.1118,296.28995,294.978,295.2687,716.4249596386719,0.02147247158645233,-718.5722067973171
446400.0,284.52,295.6281,294.8343,296.33102,295.04822,295.33795,716.5262277783204,0.024600546979317624,-718.9862824762522
448200.0,282.83942,295.77374,295.19513,296.36646,295.10138,296.77692,717.8406751660157,0.02744689971936865,-720.5853651379525
450000.0,280.85,295.7087,294.81976,296.32574,295.06485,295.47763,716.6949550976562,0.030374807043816343,-719.7324358020379
451800.0,282.63675,295.75015,294.8508,296.32648,295.10324,296.15762,717.2909772167969,0.033007290159250684,-720.591706232722
453600.0,284.05,295.79898,294.93094,296.3764,295.1781,295.57108,716.9318819897461,0.0356433004464152,-720.4962120343877
455400.0,282.52295,295.83292,294.91714,296.37848,295.19315,295.5781,716.9679400585937,0.038387001068996895,-720.8066401654934
457200.0,280.92,295.85428,294.8623,296.35892,295.19998,295.576,716.9750380688477,0.04120738700683311,-721.095776769531
459000.0,279.889,295.88837,294.8963,296.37045,295.20764,295.62387,717.044778840332,0.04135359568079312,-721.1801384084114
460800.0,279.82,293.41626,292.77112,293.82095,292.99173,292.68286,710.9239232495117,0.0421607956560409,-715.1400028151158
462600.0,281.64413,293.9778,293.1165,296.12122,293.3412,293.5889,712.5783773999024,0.04326538923792218,-716.9049163236946
464400.0,283.66,294.448,293.4668,296.7155,293.78494,294.14767,713.7398721037947,0.044342145624509464,-718.1740866662457
466200.0,284.9554,294.7367,293.75412,297.10623,294.05685,294.48727,714.4784935149275,0.04457837331428618,-718.9363308463562
468000.0,286.14,294.49744,293.7163,295.80676,293.9988,294.69046,714.2846221770369,0.04479976943152785,-718.7645991201897
